threshold,n_approved,approval_rate,total_profit,total_loan,avg_PD,profit_ratio
0.05,5622,7.112494306968271,7782147.1106061535,73400275.0,0.04118259141769337,0.10602340537015909
0.060000000000000005,9226,11.67198016294722,13535327.935397401,121169200.0,0.046619099921059545,0.11170601056536976
0.07,13055,16.51611760538434,19976020.99461641,171079250.0,0.05199056294327167,0.1167647215814683
0.08000000000000002,17020,21.53231111785841,26741833.26523421,221395475.0,0.05734118019764758,0.12078762343825776
0.09000000000000001,20755,26.257527453064117,33411681.109717257,269557600.0,0.06230196296206571,0.12395006154423863
0.1,24334,30.785385354992158,39841511.00715491,315631125.0,0.0671088177197044,0.12622808034903057
0.11000000000000001,27587,34.90081473609635,45638853.91015491,357401100.0,0.07157280902369641,0.12769645619488834
0.12000000000000001,30663,38.792318202520114,51203234.79431391,397272200.0,0.07592125473152153,0.1288870321011989
0.13,33632,42.54845402560599,56589347.80031185,435528575.0,0.08025506745300832,0.1299325717039619
0.14,36234,45.84029148322453,61147044.3796125,468946700.0,0.08417885535734108,0.13039231191863063
0.15000000000000002,38683,48.93856586205151,65679950.01988009,501208475.0,0.0880249835167312,0.13104317523737022
0.16000000000000003,40957,51.81544456252214,69691669.8211717,530528975.0,0.09173864413632997,0.13136260808596117
0.17000000000000004,43006,54.407671676534584,73261504.70344323,557039050.0,0.09522418860852738,0.13151951322522762
0.18000000000000005,44985,56.91134051920449,76702604.3435155,583314600.0,0.09873006904582708,0.13149440172338478
0.19,46837,59.254339355295784,79891337.79668197,607755950.0,0.10214241691195074,0.13145299161066537
0.2,48556,61.429077475836245,82941356.15397823,630812125.0,0.10542959538040295,0.1314834526270056
0.21000000000000002,50150,63.44567582612216,85705258.6189402,652819800.0,0.1085935676023752,0.13128471075623044
0.22000000000000003,51698,65.4040787409544,88358944.21912022,674285525.0,0.11177646906163169,0.13104084389045756
0.23000000000000004,53212,67.31946763827742,90801061.31637734,694755675.0,0.11499804781065655,0.13069495447644575
0.24000000000000005,54646,69.13364708263752,93033243.0547775,714892275.0,0.11814554526470684,0.1301360307114488
0.25000000000000006,56010,70.85926825565508,95117122.86881146,733988750.0,0.12123250759390534,0.12958934706943595
0.26000000000000006,57244,72.42042406760791,96927047.7799263,751368600.0,0.12411859940692446,0.1290006632961855
0.27,58439,73.93224027124134,98546652.96188241,768161450.0,0.12699772232970877,0.12828898529323804
0.28,59652,75.4668286017914,100323417.21691778,785907875.0,0.13000634378874007,0.12765289725200651
